pid,name,cpu_percent,median_cpu_percent,quadratic_deviation,ram_usage,upload,download,upload_speed,median_network_rate,download_speed,Number of crypto API calls
12120,SearchApp.exe,0,,0,70.72265625,0,0,0,,0,6
2696,Telegram.exe,0,0.225,0.106066017,94.16796875,1100,108,372,372,0,5
2188,brave.exe,0,,0,147.5039063,0,0,0,,0,2
3684,MemCompression,0,,0,324.2695313,0,0,0,,0,0
6736,brave.exe,19.4125,20.26875,9.580323803,394.6171875,0,0,0,,0,2
2920,svchost.exe,7.2875,7.30625,3.444233304,44.51953125,0,0,0,,0,3
7964,brave.exe,3.025,3.2125,1.522105632,297.8789063,0,0,0,,0,5
18344,dwm.exe,2.1,2.10625,0.992908886,93.3828125,0,0,0,,0,5
2460,brave.exe,2.0625,1.775,0.869047211,14.62890625,0,0,0,,0,2
12544,audiodg.exe,1.625,1.6875,0.79713027,49.7265625,0,0,0,,0,1
9948,conhost.exe,1.5125,1.41875,0.673171391,18.34375,0,0,0,,0,1
12684,brave.exe,1.3375,1.8625,0.977045575,43.27734375,0,0,0,,0,3
13432,brave.exe,0.725,0.90625,0.452116934,31.4921875,55,66,55,121,66,2
17608,explorer.exe,0.725,0.4125,0.320806276,136.8671875,0,0,0,,0,5
3240,mc-fw-host.exe,0.4125,0.43125,0.20386883,237.6210938,0,0,0,,0,0
2696,Telegram.exe,0,0.225,0.106066017,94.16796875,1100,108,372,372,0,5
15816,Taskmgr.exe,1.2,1.6625,0.675864155,57.27734375,0,0,0,,0,0
2696,Telegram.exe,0,0.11875,0.07793831,93.8203125,9045,954,1488,992,0,5
14544,WinREUpdateInstaller.exe,10.7875,6.7375,4.75572024,45.609375,0,0,0,,0,0
2996,brave.exe,10.725,9.9125,4.197765584,326.3007813,0,0,0,,0,0
2920,svchost.exe,7.6875,5.5875,2.192770189,45.68359375,0,0,0,,0,0
13432,brave.exe,0.8,0.775,0.330002894,32.16015625,65556,5957911,10635,597976,1053618,0
13096,WinREUpdateInstaller_2401B_amd64.exe,0,2.0125,0.750014468,28.234375,0,0,0,,0,0
14544,WinREUpdateInstaller.exe,10.3375,3.1375,4.176004511,33.88671875,0,0,0,,0,0
13096,WinREUpdateInstaller_2401B_amd64.exe,0,2.0125,0.871438063,28.234375,0,0,0,,0,0
