pid,median_cpu_percent,quadratic_deviation,ram_usage,median_network_rate,Number of crypto API calls,Cryptojacker or not
327,50.7,9.488686351,105.90625,97825.0,0.0,no
81,87.675,11.21233445,2351.519531,719.0,5.0,yes
42,85.0875,20.50729088,2366.226563,579.0,5.0,yes
35,86.75,3.932918652,2366.292969,579.0,5.0,yes
251,78.4625,18.191138179628027,732.19921875,114.0,0.0,no
88,87.5875,11.62847675,2351.519531,719.0,5.0,yes
387,6.7375,4.75572024,45.609375,0.0,0.0,no
56,22.675,2.313356114,2352.214844,727.0,5.0,yes
203,44.675,11.81946965,2354.824219,840.0,3.0,yes
109,71.95,13.44096106,2353.15625,753.0,5.0,yes
181,46.75,10.81191537,2355.929688,840.0,3.0,yes
309,5.6625,0.919329003,174.78125,6106184.5,2.0,no
358,5.18125,3.277193549,46.88671875,5313.0,3.0,no
155,25.20625,3.738871182,1162.636719,4953.5,5.0,yes
82,87.675,11.27520728,2351.519531,719.0,5.0,yes
57,24.8,6.378650415,2352.203125,444.0,5.0,yes
138,82.625,7.130271868,2363.414063,753.0,5.0,yes
311,51.8625,13.33004501,106.4140625,261675.0,0.0,no
179,78.05,12.2231963,2362.90625,618.5,5.0,yes
376,2.10625,0.992908886,93.3828125,0.0,5.0,no
122,67.1125,16.61964901,2362.929688,434.0,5.0,yes
348,5.5125,2.193996551,45.5390625,0.0,3.0,no
280,10.2875,0.233907033,89.09765625,0.0,2.0,no
350,0.75625,0.276020163,17.40234375,0.0,3.0,no
208,14.54375,4.36729339093448,4841.2578125,0.0,0.0,no
255,81.1875,17.838703868551555,873.2578125,174.0,0.0,no
72,24.7875,1.671501267,2363.410156,603.0,5.0,yes
51,86.725,19.25542501,2359.226563,115.0,5.0,yes
323,5.55,1.044678978,172.859375,2093644.0,2.0,no
44,86.25,24.00167556,1322.394531,237.5,0.0,yes
153,25.20625,3.984021907,953.265625,9306.0,5.0,yes
21,88.3625,3.891480035,2366.300781,1061.0,5.0,yes
367,0.43125,0.20386883,237.6210938,0.0,0.0,no
162,22.0625,5.1242536,2358.921875,458.0,5.0,yes
289,1.6375,0.591144255,15.1171875,0.0,2.0,no
299,0.7875,0.317360136,32.25,610198.0,2.0,no
189,46.46875,12.08590559,2355.859375,840.0,3.0,yes
161,24.35,6.745708512,2358.730469,458.0,5.0,yes
45,74.99,38.21,2346.707031,66.0,5.0,yes
197,14.45625,5.856039142,2095.589844,576.0,3.0,yes
261,60.40625,17.897933847171604,333.421875,228.0,0.0,no
235,58.64375,18.69504735769262,339.25,114.0,0.0,no
71,24.8,1.678363693,2363.410156,603.0,5.0,yes
34,86.475,3.712971257,2366.292969,579.0,5.0,yes
